strucpro_code,geo_code,crops,strucpro,geo,time,values
AR,AL,Artichokes,Area (cultivation/harvested/production) (1000 ha),Albania,2020,0
AR,AT,Artichokes,Area (cultivation/harvested/production) (1000 ha),Austria,2020,0
AR,BA,Artichokes,Area (cultivation/harvested/production) (1000 ha),Bosnia and Herzegovina,2020,0
AR,BE,Artichokes,Area (cultivation/harvested/production) (1000 ha),Belgium,2020,0
AR,BG,Artichokes,Area (cultivation/harvested/production) (1000 ha),Bulgaria,2020,0
AR,CZ,Artichokes,Area (cultivation/harvested/production) (1000 ha),Czechia,2020,0
AR,DE,Artichokes,Area (cultivation/harvested/production) (1000 ha),Germany (until 1990 former territory of the FRG),2020,0
AR,DK,Artichokes,Area (cultivation/harvested/production) (1000 ha),Denmark,2020,0
AR,EE,Artichokes,Area (cultivation/harvested/production) (1000 ha),Estonia,2020,0
AR,FI,Artichokes,Area (cultivation/harvested/production) (1000 ha),Finland,2020,0
AR,HR,Artichokes,Area (cultivation/harvested/production) (1000 ha),Croatia,2020,0
AR,HU,Artichokes,Area (cultivation/harvested/production) (1000 ha),Hungary,2020,0
AR,IE,Artichokes,Area (cultivation/harvested/production) (1000 ha),Ireland,2020,0
AR,IS,Artichokes,Area (cultivation/harvested/production) (1000 ha),Iceland,2020,0
AR,LT,Artichokes,Area (cultivation/harvested/production) (1000 ha),Lithuania,2020,0
AR,LU,Artichokes,Area (cultivation/harvested/production) (1000 ha),Luxembourg,2020,0
AR,LV,Artichokes,Area (cultivation/harvested/production) (1000 ha),Latvia,2020,0
AR,ME,Artichokes,Area (cultivation/harvested/production) (1000 ha),Montenegro,2020,0
AR,MK,Artichokes,Area (cultivation/harvested/production) (1000 ha),North Macedonia,2020,0
AR,MT,Artichokes,Area (cultivation/harvested/production) (1000 ha),Malta,2020,0
AR,NL,Artichokes,Area (cultivation/harvested/production) (1000 ha),Netherlands,2020,0
AR,NO,Artichokes,Area (cultivation/harvested/production) (1000 ha),Norway,2020,0
AR,PL,Artichokes,Area (cultivation/harvested/production) (1000 ha),Poland,2020,0
AR,RO,Artichokes,Area (cultivation/harvested/production) (1000 ha),Romania,2020,0
AR,SI,Artichokes,Area (cultivation/harvested/production) (1000 ha),Slovenia,2020,0
AR,SK,Artichokes,Area (cultivation/harvested/production) (1000 ha),Slovakia,2020,0
AR,UK,Artichokes,Area (cultivation/harvested/production) (1000 ha),United Kingdom,2020,0
PR_HU_EU,AL,Artichokes,Harvested production in EU standard humidity (1000 t),Albania,2020,0
PR_HU_EU,AT,Artichokes,Harvested production in EU standard humidity (1000 t),Austria,2020,0
PR_HU_EU,BA,Artichokes,Harvested production in EU standard humidity (1000 t),Bosnia and Herzegovina,2020,0
PR_HU_EU,BE,Artichokes,Harvested production in EU standard humidity (1000 t),Belgium,2020,0
PR_HU_EU,BG,Artichokes,Harvested production in EU standard humidity (1000 t),Bulgaria,2020,0
PR_HU_EU,CZ,Artichokes,Harvested production in EU standard humidity (1000 t),Czechia,2020,0
PR_HU_EU,DE,Artichokes,Harvested production in EU standard humidity (1000 t),Germany (until 1990 former territory of the FRG),2020,0
PR_HU_EU,DK,Artichokes,Harvested production in EU standard humidity (1000 t),Denmark,2020,0
PR_HU_EU,EE,Artichokes,Harvested production in EU standard humidity (1000 t),Estonia,2020,0
PR_HU_EU,FI,Artichokes,Harvested production in EU standard humidity (1000 t),Finland,2020,0
PR_HU_EU,HR,Artichokes,Harvested production in EU standard humidity (1000 t),Croatia,2020,0
PR_HU_EU,HU,Artichokes,Harvested production in EU standard humidity (1000 t),Hungary,2020,0
PR_HU_EU,IE,Artichokes,Harvested production in EU standard humidity (1000 t),Ireland,2020,0
PR_HU_EU,IS,Artichokes,Harvested production in EU standard humidity (1000 t),Iceland,2020,0
PR_HU_EU,LT,Artichokes,Harvested production in EU standard humidity (1000 t),Lithuania,2020,0
PR_HU_EU,LU,Artichokes,Harvested production in EU standard humidity (1000 t),Luxembourg,2020,0
PR_HU_EU,LV,Artichokes,Harvested production in EU standard humidity (1000 t),Latvia,2020,0
PR_HU_EU,ME,Artichokes,Harvested production in EU standard humidity (1000 t),Montenegro,2020,0
PR_HU_EU,MK,Artichokes,Harvested production in EU standard humidity (1000 t),North Macedonia,2020,0
PR_HU_EU,MT,Artichokes,Harvested production in EU standard humidity (1000 t),Malta,2020,0
PR_HU_EU,NL,Artichokes,Harvested production in EU standard humidity (1000 t),Netherlands,2020,0
PR_HU_EU,NO,Artichokes,Harvested production in EU standard humidity (1000 t),Norway,2020,0
PR_HU_EU,PL,Artichokes,Harvested production in EU standard humidity (1000 t),Poland,2020,0
PR_HU_EU,RO,Artichokes,Harvested production in EU standard humidity (1000 t),Romania,2020,0
PR_HU_EU,SI,Artichokes,Harvested production in EU standard humidity (1000 t),Slovenia,2020,0
PR_HU_EU,SK,Artichokes,Harvested production in EU standard humidity (1000 t),Slovakia,2020,0
PR_HU_EU,UK,Artichokes,Harvested production in EU standard humidity (1000 t),United Kingdom,2020,0
AR,AL,Artichokes,Area (cultivation/harvested/production) (1000 ha),Albania,2019,0
AR,AT,Artichokes,Area (cultivation/harvested/production) (1000 ha),Austria,2019,0
AR,BA,Artichokes,Area (cultivation/harvested/production) (1000 ha),Bosnia and Herzegovina,2019,0
AR,BE,Artichokes,Area (cultivation/harvested/production) (1000 ha),Belgium,2019,0
AR,BG,Artichokes,Area (cultivation/harvested/production) (1000 ha),Bulgaria,2019,0.28
AR,CH,Artichokes,Area (cultivation/harvested/production) (1000 ha),Switzerland,2019,0
AR,CY,Artichokes,Area (cultivation/harvested/production) (1000 ha),Cyprus,2019,0.06
AR,CZ,Artichokes,Area (cultivation/harvested/production) (1000 ha),Czechia,2019,0
AR,DE,Artichokes,Area (cultivation/harvested/production) (1000 ha),Germany (until 1990 former territory of the FRG),2019,0
AR,DK,Artichokes,Area (cultivation/harvested/production) (1000 ha),Denmark,2019,0
AR,EE,Artichokes,Area (cultivation/harvested/production) (1000 ha),Estonia,2019,0
AR,EL,Artichokes,Area (cultivation/harvested/production) (1000 ha),Greece,2019,0.97
AR,ES,Artichokes,Area (cultivation/harvested/production) (1000 ha),Spain,2019,14.49
AR,EU,Artichokes,Area (cultivation/harvested/production) (1000 ha),"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,60.69
AR,EU27_2020,Artichokes,Area (cultivation/harvested/production) (1000 ha),European Union - 27 countries (from 2020),2019,60.69
AR,EU28,Artichokes,Area (cultivation/harvested/production) (1000 ha),European Union - 28 countries (2013-2020),2019,60.69
AR,FI,Artichokes,Area (cultivation/harvested/production) (1000 ha),Finland,2019,0
AR,FR,Artichokes,Area (cultivation/harvested/production) (1000 ha),France,2019,5.46
AR,HR,Artichokes,Area (cultivation/harvested/production) (1000 ha),Croatia,2019,0
AR,HU,Artichokes,Area (cultivation/harvested/production) (1000 ha),Hungary,2019,0.01
AR,IE,Artichokes,Area (cultivation/harvested/production) (1000 ha),Ireland,2019,0
AR,IS,Artichokes,Area (cultivation/harvested/production) (1000 ha),Iceland,2019,0
AR,IT,Artichokes,Area (cultivation/harvested/production) (1000 ha),Italy,2019,39.42
AR,LT,Artichokes,Area (cultivation/harvested/production) (1000 ha),Lithuania,2019,0
AR,LU,Artichokes,Area (cultivation/harvested/production) (1000 ha),Luxembourg,2019,0
AR,LV,Artichokes,Area (cultivation/harvested/production) (1000 ha),Latvia,2019,0
AR,ME,Artichokes,Area (cultivation/harvested/production) (1000 ha),Montenegro,2019,0
AR,MK,Artichokes,Area (cultivation/harvested/production) (1000 ha),North Macedonia,2019,0
AR,MT,Artichokes,Area (cultivation/harvested/production) (1000 ha),Malta,2019,0
AR,NL,Artichokes,Area (cultivation/harvested/production) (1000 ha),Netherlands,2019,0
AR,NO,Artichokes,Area (cultivation/harvested/production) (1000 ha),Norway,2019,0
AR,PL,Artichokes,Area (cultivation/harvested/production) (1000 ha),Poland,2019,0
AR,PT,Artichokes,Area (cultivation/harvested/production) (1000 ha),Portugal,2019,0
AR,RO,Artichokes,Area (cultivation/harvested/production) (1000 ha),Romania,2019,0
AR,RS,Artichokes,Area (cultivation/harvested/production) (1000 ha),Serbia,2019,0
AR,SE,Artichokes,Area (cultivation/harvested/production) (1000 ha),Sweden,2019,0
AR,SI,Artichokes,Area (cultivation/harvested/production) (1000 ha),Slovenia,2019,0
AR,SK,Artichokes,Area (cultivation/harvested/production) (1000 ha),Slovakia,2019,0
AR,TR,Artichokes,Area (cultivation/harvested/production) (1000 ha),Turkey,2019,3
AR,UK,Artichokes,Area (cultivation/harvested/production) (1000 ha),United Kingdom,2019,0
AR,XK,Artichokes,Area (cultivation/harvested/production) (1000 ha),Kosovo (under United Nations Security Council Resolution 1244/99),2019,0
PR_HU_EU,AL,Artichokes,Harvested production in EU standard humidity (1000 t),Albania,2019,0
PR_HU_EU,AT,Artichokes,Harvested production in EU standard humidity (1000 t),Austria,2019,0
PR_HU_EU,BA,Artichokes,Harvested production in EU standard humidity (1000 t),Bosnia and Herzegovina,2019,0
PR_HU_EU,BE,Artichokes,Harvested production in EU standard humidity (1000 t),Belgium,2019,0
PR_HU_EU,BG,Artichokes,Harvested production in EU standard humidity (1000 t),Bulgaria,2019,0.18
PR_HU_EU,CH,Artichokes,Harvested production in EU standard humidity (1000 t),Switzerland,2019,0
PR_HU_EU,CY,Artichokes,Harvested production in EU standard humidity (1000 t),Cyprus,2019,1.29
PR_HU_EU,CZ,Artichokes,Harvested production in EU standard humidity (1000 t),Czechia,2019,0
PR_HU_EU,DE,Artichokes,Harvested production in EU standard humidity (1000 t),Germany (until 1990 former territory of the FRG),2019,0
PR_HU_EU,DK,Artichokes,Harvested production in EU standard humidity (1000 t),Denmark,2019,0
PR_HU_EU,EE,Artichokes,Harvested production in EU standard humidity (1000 t),Estonia,2019,0
PR_HU_EU,EL,Artichokes,Harvested production in EU standard humidity (1000 t),Greece,2019,15.13
PR_HU_EU,ES,Artichokes,Harvested production in EU standard humidity (1000 t),Spain,2019,199.94
PR_HU_EU,EU,Artichokes,Harvested production in EU standard humidity (1000 t),"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,634.83
PR_HU_EU,EU27_2020,Artichokes,Harvested production in EU standard humidity (1000 t),European Union - 27 countries (from 2020),2019,634.83
PR_HU_EU,EU28,Artichokes,Harvested production in EU standard humidity (1000 t),European Union - 28 countries (2013-2020),2019,634.83
PR_HU_EU,FI,Artichokes,Harvested production in EU standard humidity (1000 t),Finland,2019,0
PR_HU_EU,FR,Artichokes,Harvested production in EU standard humidity (1000 t),France,2019,38.03
PR_HU_EU,HR,Artichokes,Harvested production in EU standard humidity (1000 t),Croatia,2019,0
PR_HU_EU,HU,Artichokes,Harvested production in EU standard humidity (1000 t),Hungary,2019,0.04
PR_HU_EU,IE,Artichokes,Harvested production in EU standard humidity (1000 t),Ireland,2019,0
PR_HU_EU,IS,Artichokes,Harvested production in EU standard humidity (1000 t),Iceland,2019,0
PR_HU_EU,IT,Artichokes,Harvested production in EU standard humidity (1000 t),Italy,2019,378.82
PR_HU_EU,LT,Artichokes,Harvested production in EU standard humidity (1000 t),Lithuania,2019,0
PR_HU_EU,LU,Artichokes,Harvested production in EU standard humidity (1000 t),Luxembourg,2019,0
PR_HU_EU,LV,Artichokes,Harvested production in EU standard humidity (1000 t),Latvia,2019,0
PR_HU_EU,ME,Artichokes,Harvested production in EU standard humidity (1000 t),Montenegro,2019,0
PR_HU_EU,MK,Artichokes,Harvested production in EU standard humidity (1000 t),North Macedonia,2019,0
PR_HU_EU,MT,Artichokes,Harvested production in EU standard humidity (1000 t),Malta,2019,1.3
PR_HU_EU,NL,Artichokes,Harvested production in EU standard humidity (1000 t),Netherlands,2019,0
PR_HU_EU,NO,Artichokes,Harvested production in EU standard humidity (1000 t),Norway,2019,0
PR_HU_EU,PL,Artichokes,Harvested production in EU standard humidity (1000 t),Poland,2019,0.1
PR_HU_EU,PT,Artichokes,Harvested production in EU standard humidity (1000 t),Portugal,2019,0
PR_HU_EU,RO,Artichokes,Harvested production in EU standard humidity (1000 t),Romania,2019,0
PR_HU_EU,RS,Artichokes,Harvested production in EU standard humidity (1000 t),Serbia,2019,0
PR_HU_EU,SE,Artichokes,Harvested production in EU standard humidity (1000 t),Sweden,2019,0
PR_HU_EU,SI,Artichokes,Harvested production in EU standard humidity (1000 t),Slovenia,2019,0
PR_HU_EU,SK,Artichokes,Harvested production in EU standard humidity (1000 t),Slovakia,2019,0
PR_HU_EU,TR,Artichokes,Harvested production in EU standard humidity (1000 t),Turkey,2019,39
PR_HU_EU,UK,Artichokes,Harvested production in EU standard humidity (1000 t),United Kingdom,2019,0
PR_HU_EU,XK,Artichokes,Harvested production in EU standard humidity (1000 t),Kosovo (under United Nations Security Council Resolution 1244/99),2019,0
AR,AL,Artichokes,Area (cultivation/harvested/production) (1000 ha),Albania,2018,0
AR,AT,Artichokes,Area (cultivation/harvested/production) (1000 ha),Austria,2018,0
AR,BA,Artichokes,Area (cultivation/harvested/production) (1000 ha),Bosnia and Herzegovina,2018,0
AR,BE,Artichokes,Area (cultivation/harvested/production) (1000 ha),Belgium,2018,0
AR,BG,Artichokes,Area (cultivation/harvested/production) (1000 ha),Bulgaria,2018,0.17
AR,CH,Artichokes,Area (cultivation/harvested/production) (1000 ha),Switzerland,2018,0
AR,CY,Artichokes,Area (cultivation/harvested/production) (1000 ha),Cyprus,2018,0.08
AR,CZ,Artichokes,Area (cultivation/harvested/production) (1000 ha),Czechia,2018,0
AR,DE,Artichokes,Area (cultivation/harvested/production) (1000 ha),Germany (until 1990 former territory of the FRG),2018,0
AR,DK,Artichokes,Area (cultivation/harvested/production) (1000 ha),Denmark,2018,0
AR,EE,Artichokes,Area (cultivation/harvested/production) (1000 ha),Estonia,2018,0
AR,EL,Artichokes,Area (cultivation/harvested/production) (1000 ha),Greece,2018,1.11
AR,ES,Artichokes,Area (cultivation/harvested/production) (1000 ha),Spain,2018,15.58
AR,EU,Artichokes,Area (cultivation/harvested/production) (1000 ha),"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,62.91
AR,EU27_2020,Artichokes,Area (cultivation/harvested/production) (1000 ha),European Union - 27 countries (from 2020),2018,62.91
AR,EU28,Artichokes,Area (cultivation/harvested/production) (1000 ha),European Union - 28 countries (2013-2020),2018,62.91
AR,FI,Artichokes,Area (cultivation/harvested/production) (1000 ha),Finland,2018,0
AR,FR,Artichokes,Area (cultivation/harvested/production) (1000 ha),France,2018,6.26
AR,HR,Artichokes,Area (cultivation/harvested/production) (1000 ha),Croatia,2018,0
AR,HU,Artichokes,Area (cultivation/harvested/production) (1000 ha),Hungary,2018,0
AR,IE,Artichokes,Area (cultivation/harvested/production) (1000 ha),Ireland,2018,0
AR,IS,Artichokes,Area (cultivation/harvested/production) (1000 ha),Iceland,2018,0
AR,IT,Artichokes,Area (cultivation/harvested/production) (1000 ha),Italy,2018,39.72
AR,LT,Artichokes,Area (cultivation/harvested/production) (1000 ha),Lithuania,2018,0
AR,LU,Artichokes,Area (cultivation/harvested/production) (1000 ha),Luxembourg,2018,0
AR,LV,Artichokes,Area (cultivation/harvested/production) (1000 ha),Latvia,2018,0
AR,ME,Artichokes,Area (cultivation/harvested/production) (1000 ha),Montenegro,2018,0
AR,MK,Artichokes,Area (cultivation/harvested/production) (1000 ha),North Macedonia,2018,0
AR,MT,Artichokes,Area (cultivation/harvested/production) (1000 ha),Malta,2018,0
AR,NL,Artichokes,Area (cultivation/harvested/production) (1000 ha),Netherlands,2018,0
AR,NO,Artichokes,Area (cultivation/harvested/production) (1000 ha),Norway,2018,0
AR,PL,Artichokes,Area (cultivation/harvested/production) (1000 ha),Poland,2018,0
AR,PT,Artichokes,Area (cultivation/harvested/production) (1000 ha),Portugal,2018,0
AR,RO,Artichokes,Area (cultivation/harvested/production) (1000 ha),Romania,2018,0
AR,RS,Artichokes,Area (cultivation/harvested/production) (1000 ha),Serbia,2018,0
AR,SE,Artichokes,Area (cultivation/harvested/production) (1000 ha),Sweden,2018,0
AR,SI,Artichokes,Area (cultivation/harvested/production) (1000 ha),Slovenia,2018,0
AR,SK,Artichokes,Area (cultivation/harvested/production) (1000 ha),Slovakia,2018,0
AR,TR,Artichokes,Area (cultivation/harvested/production) (1000 ha),Turkey,2018,3
AR,UK,Artichokes,Area (cultivation/harvested/production) (1000 ha),United Kingdom,2018,0
AR,XK,Artichokes,Area (cultivation/harvested/production) (1000 ha),Kosovo (under United Nations Security Council Resolution 1244/99),2018,0
PR_HU_EU,AL,Artichokes,Harvested production in EU standard humidity (1000 t),Albania,2018,0
PR_HU_EU,AT,Artichokes,Harvested production in EU standard humidity (1000 t),Austria,2018,0
PR_HU_EU,BA,Artichokes,Harvested production in EU standard humidity (1000 t),Bosnia and Herzegovina,2018,0
PR_HU_EU,BE,Artichokes,Harvested production in EU standard humidity (1000 t),Belgium,2018,0
PR_HU_EU,BG,Artichokes,Harvested production in EU standard humidity (1000 t),Bulgaria,2018,0.29
PR_HU_EU,CH,Artichokes,Harvested production in EU standard humidity (1000 t),Switzerland,2018,0
PR_HU_EU,CY,Artichokes,Harvested production in EU standard humidity (1000 t),Cyprus,2018,1.72
PR_HU_EU,CZ,Artichokes,Harvested production in EU standard humidity (1000 t),Czechia,2018,0
PR_HU_EU,DE,Artichokes,Harvested production in EU standard humidity (1000 t),Germany (until 1990 former territory of the FRG),2018,0
PR_HU_EU,DK,Artichokes,Harvested production in EU standard humidity (1000 t),Denmark,2018,0
PR_HU_EU,EE,Artichokes,Harvested production in EU standard humidity (1000 t),Estonia,2018,0
PR_HU_EU,EL,Artichokes,Harvested production in EU standard humidity (1000 t),Greece,2018,18
